,Unnamed: 0,Cumulative_YoutubeSess_LTE_DL_Time,Cumulative_YoutubeSess_LTE_DL_Volume,Cumulative_YoutubeSess_UMTS_DL_Time,Cumulative_YoutubeSess_UMTS_DL_Volume,Max_RSRQ,Max_SNR,User_Satisfaction,Cumulative_Full_Service_Time_UMTS,Cumulative_Lim_Service_Time_UMTS,Cumulative_No_Service_Time_UMTS,Cumulative_Full_Service_Time_LTE,Cumulative_Lim_Service_Time_LTE,Cumulative_No_Service_Time_LTE
7479,7480,419.965,252086.0,0.0,0.0,-3.0,-19.8,0.0,99687,4935,1268,248991,1126,9684
6975,6976,110.451,123277.0,42.802,2894.0,-8.0,11.8,0.0,54227,920,256,166211,2304,1897
4325,4326,22.458,3059.0,0.0,0.0,-5.0,-19.8,1.0,58909,6023,462,114728,1788,8195
14568,14570,699.3989999999999,356153.0,5.922999999999999,137.0,-6.0,22.2,1.0,48323,8549,2826,105252,2644,4714
7750,7751,188.413,112823.0,2.236,99.0,-3.0,-19.8,0.0,87698,5283,1483,244809,5572,7697
10720,10722,38.856,14832.0,11.014,275.0,-3.0,-19.8,1.0,36276,2845,694,145528,1859,3726
20478,20481,229.98,200678.0,3.691,526.0,-5.0,2.4,0.0,7450,3823,2518,158118,55,14011
2226,2226,174.87599999999995,113473.0,0.0,0.0,-7.0,20.8,1.0,82490,4889,3284,240625,3141,1963
17228,17231,145.726,81484.0,0.0,0.0,-7.0,23.0,1.0,4718,9186,3509,176296,3547,1391
6173,6174,503.022,218830.0,0.0,0.0,-3.0,27.0,1.0,94873,3771,915,133716,2485,1322
2645,2645,618.026,210192.0,23.656,785.0,-6.0,-19.9,0.0,136619,7240,2292,146700,1589,10282
17521,17524,18.619,117.0,2.229,12.0,-5.0,27.0,0.0,111479,2554,1139,121757,4481,8804
11422,11424,0.0,0.0,2418.3699999999994,254157.0,-7.0,29.2,0.0,61279,6922,2903,118955,2013,1396
22346,22349,493.84600000000006,213216.0,3.932,45.0,-6.0,27.6,1.0,43739,6816,1656,145762,172,4336
5692,5693,664.35,179114.0,6.475,766.0,-4.0,-19.9,1.0,61444,4963,1591,240488,4002,4752
4465,4466,921.999,492130.0,2.359,185.0,-3.0,-19.8,0.0,32471,4986,2153,184490,1405,336
22354,22357,6.2189999999999985,6457.0,0.0,0.0,-7.0,23.2,1.0,3155,165,536,128050,402,6560
